"City","OtherName","Country","Latitude","Longitude","Certainty","year","population"
"Changsha","","China","28.196111","112.972222",1,"BC_200",38000
"Cyrene","near present-day Shahhat","Libya","32.81901498","21.85583296",3,"BC_200",30000
"Ephesus","","Turkey","37.94049284","27.34104109",3,"BC_200",40000
"Izapa","","Mexico","14.92339814","-92.17999",1,"BC_200",35000
"Luoyang","Honan","China","34.669722","112.442222",2,"BC_200",60000
"Messina","","Italy","38.19327","15.54969",1,"BC_200",35000
"Olbia","","Italy","40.9167","9.5",2,"BC_200",30000
"Paithan","Prati??h?na","India","19.47506","75.38558",3,"BC_200",60000
"Patna","","India","25.610533","85.14145",1,"BC_200",350000
"Pergamum","","Turkey","39.13225127","27.1836318",1,"BC_200",35000
"Rhodes","","Greece","36.4333","28.2167",2,"BC_200",42000
"Seleucia","","Iraq","33.094444","44.522222",2,"BC_200",200000
"Sparti","Sp·rti, Sparta","Greece","37.08182158","22.4234456",1,"BC_200",30000
"Syracuse","","Greece","37.06082237","15.29420264",2,"BC_200",100000
"Taxilla","Taxila","Pakistan","33.75743141","72.82952293",1,"BC_200",60000
"Tres Zapotes","","Mexico","18.466667","-95.433333",2,"BC_200",30000
"Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,"BC_200",400000
"Ankara","Angora","Turkey","39.91987","32.85427",1,"BC_100",34000
"Antioch","","Syria/Turkey","36.20655","36.15722",2,"BC_100",150000
"Anuradhapura","Anuradha-Pura","Sri Lanka","8.31223","80.41306",1,"BC_100",130000
"Apamea","","Turkey","35.41853326","36.40475674",3,"BC_100",37000
"Athens","","Greece","37.97945","23.71622",1,"BC_100",75000
"Cadiz","","Spain","36.52978","-6.29465",1,"BC_100",62000
"Capua","","Italy","41.09971","14.22013",1,"BC_100",36000
"Carthage","","Tunisia","36.8581","10.3308",3,"BC_100",100000
"Chengdu","","China","30.66667","104.06667",1,"BC_100",70000
"Corinth","","Greece","37.938636","22.932228",1,"BC_100",50000
"Duhuang","Tunhuang","China","40.15","94.666667",2,"BC_100",32000
"Ephesus","","Turkey","37.94049284","27.34104109",3,"BC_100",51000
"Gortyn","Gortys, Gortyna","Greece","35.06262738","24.94680958",1,"BC_100",30000
"Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,"BC_100",36000
"London","","United Kingdom","51.511214","-0.119825",1,"BC_100",30000
"Lyon","","France","45.74846","4.84671",1,"BC_100",50000
"Milan","","Italy","45.465453","9.198786",1,"BC_100",30000
"Nimes","NÓmes ","France","43.83333","4.35",1,"BC_100",44000
"Ostia","","Italy","41.75551909","12.28966708",1,"BC_100",30000
"Oxyrhyncus","","Egypt","28.53558797","30.65990829",2,"BC_100",34000
"Pergamum","","Turkey","39.13225127","27.1836318",1,"BC_100",40000
"Petra","","Jordan","30.325172","35.442581",1,"BC_100",30000
"Seleucia","","Iraq","33.094444","44.522222",2,"BC_100",250000
"Smyrna","Izmir","Turkey","38.41273","27.13838",1,"BC_100",90000
"Teotihuacan","","Mexico","19.69291001","-98.84606",1,"BC_100",45000
"Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,"BC_100",35000
"Zafar","Dhafar","Yemen","14.21175142","44.40341925",2,"BC_100",60000
"Cadiz","","Spain","36.52978","-6.29465",1,"AD_100",65000
"Luoyang","Honan","China","34.669722","112.442222",2,"AD_100",420000
"Madurai","","India","9.91735","78.11962",1,"AD_100",50000
"Rome","","Italy","41.89474","12.4839",1,"AD_100",450000
"Trabzon","Trebizond","Turkey","41.00145","39.717806",3,"AD_260",66000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_361",125000
"Antioch","","Syria/Turkey","36.20655","36.15722",2,"AD_361",150000
"Arles","","France","43.6767","4.6278",1,"AD_361",40000
"Carthage","","Tunisia","36.8581","10.3308",3,"AD_361",66000
"Ctesiphon","Taq-I  Kisra","Iraq","33.09378746","44.58006701",1,"AD_361",250000
"Damascus","","Syria","33.5102","36.29128",1,"AD_361",40000
"Edessa","Urfa","Turkey","37.15","38.8",1,"AD_361",75000
"Handan","Ye","China","36.6","114.483333",3,"AD_361",120000
"Hippos","Hippo","Israel","32.77907253","35.65948301",3,"AD_361",40000
"Jerusalem","","Israel","31.76904","35.21633",1,"AD_361",50000
"Leptis","Leptis Magna","Libya","32.63777029","14.29232884",3,"AD_361",50000
"Liaotung","penninsula","China","40.5","121.5",3,"AD_361",40000
"Milan","","Italy","45.465453","9.198786",1,"AD_361",40000
"Nanjing","Nanking","China","32.05","118.766667",1,"AD_361",150000
"Nishapur","","Iran","36.213333","58.795833",1,"AD_361",50000
"Patna","","India","25.610533","85.14145",1,"AD_361",150000
"Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,"AD_361",50000
"Rome","","Italy","41.89474","12.4839",1,"AD_361",150000
"Teotihuacan","","Mexico","19.69291001","-98.84606",1,"AD_361",90000
"Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,"AD_361",42000
"Trier","Treves","Germany","49.75565","6.63935",1,"AD_361",60000
"Ujjain","","India","23.18239","75.77643",3,"AD_361",80000
"Vienne","","France","45.51667","4.86667",3,"AD_361",45000
"Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,"AD_361",80000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_500",100000
"Antioch","","Syria/Turkey","36.20655","36.15722",2,"AD_500",150000
"Carthage","","Tunisia","36.8581","10.3308",3,"AD_500",100000
"Ctesiphon","Taq-I  Kisra","Iraq","33.09378746","44.58006701",1,"AD_500",400000
"Damascus","","Syria","33.5102","36.29128",1,"AD_500",50000
"Diyarbakir","Diarbekr","Turkey","37.914411","40.230628",1,"AD_500",80000
"Edessa","Urfa","Turkey","37.15","38.8",1,"AD_500",90000
"Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,"AD_500",400000
"Jerusalem","","Israel","31.76904","35.21633",1,"AD_500",50000
"Kayseri","Caesarea, Mazaca","Turkey","38.73222","35.48528",2,"AD_500",50000
"Luoyang","Honan","China","34.669722","112.442222",2,"AD_500",200000
"Nanjing","Nanking","China","32.05","118.766667",1,"AD_500",150000
"Nishapur","","Iran","36.213333","58.795833",1,"AD_500",50000
"Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,"AD_500",60000
"Rome","","Italy","41.89474","12.4839",1,"AD_500",100000
"Taluqan","Taloqan, Takhar","Afghanistan","36.716667","69.516667",2,"AD_500",50000
"Teotihuacan","","Mexico","19.69291001","-98.84606",1,"AD_500",125000
"Diyarbakir","Diarbekr","Turkey","37.914411","40.230628",1,"AD_502",80000
"Luoyang","Honan","China","34.669722","112.442222",2,"AD_528",240000
"Kayseri","Caesarea, Mazaca","Turkey","38.73222","35.48528",2,"AD_550",60000
"Hangzhou","Hangchow","China","30.25","120.166667",2,"AD_591",60000
"Chengdu","","China","30.66667","104.06667",1,"AD_600",81000
"Rome","","Italy","41.89474","12.4839",1,"AD_600",50000
"Medina","Madinah ","Saudi Arabia","24.4609","39.620189",1,"AD_620",15000
"Dali","Tali","China","25.606486","100.267638",1,"AD_621",18000
"Aleppo","","Syria","36.216667","37.166667",1,"AD_622",72000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_622",94000
"Anuradhapura","Anuradha-Pura","Sri Lanka","8.31223","80.41306",1,"AD_622",70000
"Aror","","Pakistan","27.65","68.9833",3,"AD_622",50000
"Badami","Vatapi","India","15.91495","75.67683",2,"AD_622",70000
"Carthage","","Tunisia","36.8581","10.3308",3,"AD_622",50000
"Chengdu","","China","30.66667","104.06667",1,"AD_622",81000
"Ctesiphon","Taq-I  Kisra","Iraq","33.09378746","44.58006701",1,"AD_622",500000
"Damascus","","Syria","33.5102","36.29128",1,"AD_622",50000
"Dvin","","Armenia","40.01984","44.58376",2,"AD_622",47000
"Edessa","Urfa","Turkey","37.15","38.8",1,"AD_622",50000
"El Tajin","Tajin, El TajÌn","Mexico","20.4481","97.3782",2,"AD_622",40000
"Hangzhou","Hangchow","China","30.25","120.166667",2,"AD_622",60000
"Isanapura","Chenla","Cambodia","11.55","104.916667",2,"AD_622",70000
"Istakhr","Estakhr, Stakhr","Iran","29.9797278","52.90898604",3,"AD_622",40000
"Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,"AD_622",400000
"Jerusalem","","Israel","31.76904","35.21633",1,"AD_622",50000
"Kamarupa","Kamata, Pragjyotisha","India","26.183333","91.733333",3,"AD_622",40000
"Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,"AD_622",120000
"Kanchipuram","Conjeeveram, Kanchi, K?Òci-pura, Conjevaram","India","12.834173","79.70364",1,"AD_622",70000
"Kashi","Kashgar","China","39.4704","75.989756",1,"AD_622",50000
"Kayseri","Caesarea, Mazaca","Turkey","38.73222","35.48528",2,"AD_622",60000
"Kosambi","Kausambi","India","25.338984","81.392899",2,"AD_622",40000
"Liaotung","penninsula","China","40.5","121.5",3,"AD_622",40000
"Luoyang","Honan","China","34.669722","112.442222",2,"AD_622",200000
"Madurai","","India","9.91735","78.11962",1,"AD_622",70000
"Nanjing","Nanking","China","32.05","118.766667",1,"AD_622",50000
"Pundravardhana","","India","25.5","81.5",2,"AD_622",40000
"Pyay","Sri Ksetra, Prome","Myanmar","18.82151","95.221029",3,"AD_622",100000
"Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,"AD_622",60000
"Rome","","Italy","41.89474","12.4839",1,"AD_622",50000
"Samarkand","Sumarqand","Uzbekistan","39.6576","66.947561",1,"AD_622",45000
"Seville","","Spain","37.388097","-5.982331",1,"AD_622",40000
"Srinagar","","India","34.08842","74.80298",1,"AD_622",45000
"Teotihuacan","","Mexico","19.69291001","-98.84606",1,"AD_622",60000
"Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,"AD_622",40000
"Vallabhi","Vallabhipur","India","21.8878","71.8795",2,"AD_622",40000
"Varanasi","Benares","India","25.317645","82.973914",2,"AD_622",65000
"Vijayawada","Bezwada","India","16.506174","80.648015",3,"AD_622",50000
"Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,"AD_622",400000
"Mecca","","Saudi Arabia","21.42667","39.82611",1,"AD_627",24000
"Aksu","Aqsu","China","41.12306","80.26444",1,"AD_630",1500
"Broach","","India","21.724644","73.002294",3,"AD_630",20000
"Jerusalem","","Israel","31.76904","35.21633",1,"AD_630",62000
"Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,"AD_630",100000
"Kashi","Kashgar","China","39.4704","75.989756",1,"AD_630",50000
"Kathmandu","Katmandu","Nepal","27.7","85.333333",1,"AD_630",22000
"Mathura","Muttra","India","27.4925","77.673611",3,"AD_630",15000
"Srinagar","","India","34.08842","74.80298",1,"AD_630",45000
"Tamralipti","Tamralipta","India","22.3","87.92",2,"AD_630",30000
"Varanasi","Benares","India","25.317645","82.973914",2,"AD_630",65000
"Aleppo","","Syria","36.216667","37.166667",1,"AD_637",72000
"Faizabad","Ayodhya, Ajodhya, Fyzabad","India","26.779386","82.142169",2,"AD_640",25000
"Kanchipuram","Conjeeveram, Kanchi, K?Òci-pura, Conjevaram","India","12.834173","79.70364",1,"AD_640",70000
"Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia","†35.674444","10.101667",2,"AD_670",10000
"Basra","Basrah","Iraq","30.5","47.816667",2,"AD_671",200000
"Kufa","","Iraq","32.033333","44.4",2,"AD_671",200000
"Mecca","","Saudi Arabia","21.42667","39.82611",1,"AD_692",60000
"Shiraz","","Iran","29.61031","52.53114",1,"AD_693",25000
"Kufa","","Iraq","32.033333","44.4",2,"AD_696",200000
"Lisbon","","Portugal","38.71667","-9.13333",1,"AD_700",15000
"Rome","","Italy","41.89474","12.4839",1,"AD_700",50000
"Tours","","France","47.38333","0.68333",1,"AD_700",17000
"Damascus","","Syria","33.5102","36.29128",1,"AD_705",300000
"Nara City","","Japan","34.685333","135.832742",1,"AD_709",200000
"Thatta","Tatta","India","24.746117","67.924336",2,"AD_711",24000
"Damascus","","Syria","33.5102","36.29128",1,"AD_715",300000
"Kufa","","Iraq","32.033333","44.4",2,"AD_715",100000
"Basra","Basrah","Iraq","30.5","47.816667",2,"AD_717",100000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_730",90000
"Kufa","","Iraq","32.033333","44.4",2,"AD_740",90000
"Poitiers","","France","46.58333","0.33333",1,"AD_741",7000
"Kaifeng","Bienliang, Pienliang","China","34.7986","114.30742",1,"AD_742",50000
"Tsinkiang","Zayton, Chinchiang, Chuanchow","China","24.913889","118.58583",3,"AD_742",26000
"Lanzhou","Lanchow","China","36.061089","103.834304",1,"AD_750",14226
"Patan","Anhilvada","India","23.8507","72.12963",1,"AD_750",40000
"Trier","Treves","Germany","49.75565","6.63935",1,"AD_750",10000
"Wuhan","Wuchang","China","30.58333","114.26667",1,"AD_750",84563
"Tikal","Tical","Guatemala","17.222094","-89.623614",2,"AD_751",63000
"Mosul","Ak Mawsil","Iraq","36.335","43.11889",1,"AD_752",40000
"Kufa","","Iraq","32.033333","44.4",2,"AD_754",110000
"Tsinkiang","Zayton, Chinchiang, Chuanchow","China","24.913889","118.58583",3,"AD_755",26000
"Balasaghun","Balasaqun, Gobalik","Kyrgyzstan","42.379739","75.250456",2,"AD_757",24000
"Sidjilmasa","Sijilmessa","Morocco","31.28","-4.28",2,"AD_757",24000
"Baghdad","Bagdad","Iraq","33.34058","44.40088",1,"AD_763",480000
"Lhasa","","China","29.645563","91.140749",1,"AD_765",100000
"Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,"AD_782",45000
"Nara City","","Japan","34.685333","135.832742",1,"AD_784",200000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_800",95000
"Anbar","Al Anbar Governorate","Iraq","32.559761","41.919647",3,"AD_800",60000
"Astrakhan","Atil, Itil","Russian Federation","46.366681","48.083239",1,"AD_800",30000
"Augsberg","Ausburg","Germany","48.371444","10.898239",1,"AD_800",6000
"Baghdad","Bagdad","Iraq","33.34058","44.40088",1,"AD_800",700000
"Basra","Basrah","Iraq","30.5","47.816667",2,"AD_800",100000
"Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,"AD_800",45000
"Cairo","Fostat, Fustat","Egypt","30.06263","31.24967",1,"AD_800",100000
"Chengdu","","China","30.66667","104.06667",1,"AD_800",75000
"Cologne","Koln, Coln","Germany","50.937531","6.960278",1,"AD_800",15000
"Cordoba","Cordova, CÛrdoba","Spain","38.046133","-4.893564",2,"AD_800",160000
"Dali","Tali","China","25.606486","100.267638",1,"AD_800",75000
"Dienne","Guinea, Jenne","Senegal","15.033366","-16.350122",3,"AD_800",10000
"El Tajin","Tajin, El TajÌn","Mexico","20.4481","97.3782",2,"AD_800",40000
"Ellora","","India","20.026319","75.177641",3,"AD_800",45000
"Esfahan","Isfahan","Iran","32.651389","51.679192",1,"AD_800",25000
"Gao","Kagho, Kukia, Gogo","Mali","16.27167","-0.04472",2,"AD_800",72000
"Hangzhou","Hangchow","China","30.25","120.166667",2,"AD_800",70000
"Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,"AD_800",250000
"Kaifeng","Bienliang, Pienliang","China","34.7986","114.30742",1,"AD_800",55000
"Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia","†35.674444","10.101667",2,"AD_800",80000
"Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,"AD_800",80000
"Kherson","Cherson","Ukraine","46.635417","32.616867",1,"AD_800",20000
"Kush","Kus","Egypt","18.53","31.84",3,"AD_800",40000
"Kyoto","","Japan","35.02107","135.75385",1,"AD_800",200000
"Lhasa","","China","29.645563","91.140749",1,"AD_800",100000
"Lisbon","","Portugal","38.71667","-9.13333",1,"AD_800",15000
"Luoyang","Honan","China","34.669722","112.442222",2,"AD_800",300000
"Lyon","","France","45.74846","4.84671",1,"AD_800",12000
"Madurai","","India","9.91735","78.11962",1,"AD_800",70000
"Mansura","Brahmanabad  ","Pakistan","25.590258","68.776944",3,"AD_800",60000
"Mecca","","Saudi Arabia","21.42667","39.82611",1,"AD_800",80000
"Merida","Emerita","Spain","38.91611","-6.34366",1,"AD_800",30000
"Messina","","Italy","38.19327","15.54969",1,"AD_800",25000
"Metz","","France","49.11911","6.17269",1,"AD_800",25000
"Milan","","Italy","45.465453","9.198786",1,"AD_800",25000
"Monte Alban","Monte Alb·n","Mexico","17.043989","-96.767467",2,"AD_800",30000
"Naples","","Italy","40.851775","14.268122",1,"AD_800",30000
"Pachacamac","","Peru","-12.188786","-76.849033",2,"AD_800",2000
"Paris","","France","48.856614","2.352222",1,"AD_800",25000
"Patan","Anhilvada","India","23.8507","72.12963",1,"AD_800",40000
"Pavia","","Italy","45.18446","9.16145",1,"AD_800",22000
"Pliska","Aboba","Bulgaria","43.362531","27.125539",1,"AD_800",34000
"Poitiers","","France","46.58333","0.33333",1,"AD_800",10000
"Prambanan","temple in Indonesia","Indonesia","-7.752022","110.491369",2,"AD_800",60000
"Rayy","Rey, Ray","Iran","35.5833","51.4333",2,"AD_800",100000
"Reims","Rheims","France","49.25","4.03333",1,"AD_800",20000
"Rome","","Italy","41.89474","12.4839",1,"AD_800",50000
"Samarkand","Sumarqand","Uzbekistan","39.6576","66.947561",1,"AD_800",75000
"Seville","","Spain","37.388097","-5.982331",1,"AD_800",35000
"Sidjilmasa","Sijilmessa","Morocco","31.28","-4.28",2,"AD_800",24000
"Suzhou","Soochow","China","31.3","120.6",1,"AD_800",84000
"Taiyuan","","China","37.87059","112.548879",1,"AD_800",25000
"Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,"AD_800",40000
"Tiahuanaco","Tiwanaku","Bolivia","-16.55228","-68.67953",1,"AD_800",20000
"Tikal","Tical","Guatemala","17.222094","-89.623614",2,"AD_800",40000
"Toledo","","Spain","39.862831","-4.027322",1,"AD_800",25000
"Tours","","France","47.38333","0.68333",1,"AD_800",20000
"Trier","Treves","Germany","49.75565","6.63935",1,"AD_800",15000
"Tsinkiang","Zayton, Chinchiang, Chuanchow","China","24.913889","118.58583",3,"AD_800",30000
"Verona","","Italy","45.43419","10.99779",1,"AD_800",30000
"Vijayawada","Bezwada","India","16.506174","80.648015",3,"AD_800",40000
"Wuhan","Wuchang","China","30.58333","114.26667",1,"AD_800",84000
"Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,"AD_800",600000
"Yangzhou","Yangchow","China","32.4","†119.416667",2,"AD_800",70000
"Cologne","Koln, Coln","Germany","50.937531","6.960278",1,"AD_804",15000
"Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,"AD_805",600000
"Fez","Fes","Morocco","34.033333","-5.01",1,"AD_808",15000
"Suzhou","Soochow","China","31.3","120.6",1,"AD_810",84000
"Edirne","Adrianople","Turkey","41.681808","26.562269",1,"AD_812",10000
"Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia","†35.674444","10.101667",2,"AD_812",78000
"Balasaghun","Balasaqun, Gobalik","Kyrgyzstan","42.379739","75.250456",2,"AD_821",18000
"Iraklion","Irakleion, Candia. Heraklion","Greece","35.338736","25.144214",1,"AD_827",15000
"Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,"AD_830",45000
"Baghdad","Bagdad","Iraq","33.34058","44.40088",1,"AD_833",900000
"Samarra"," Samarra' ","Iraq","34.198333","43.874167",2,"AD_836",280000
"Yangzhou","Yangchow","China","32.4","†119.416667",2,"AD_838",70000
"Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,"AD_850",80000
"Tarsus","","Turkey","36.91876","34.8784",1,"AD_850",48000
"Samarra"," Samarra' ","Iraq","34.198333","43.874167",2,"AD_858",270000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_860",100000
"Dali","Tali","China","25.606486","100.267638",1,"AD_860",100000
"Cologne","Koln, Coln","Germany","50.937531","6.960278",1,"AD_874",21000
"Manyakheta","Malkhed","India","17.19313","77.157379",3,"AD_875",75000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_881",160000
"Chengdu","","China","30.66667","104.06667",1,"AD_881",75000
"Burgos","","Spain","42.35","-3.7",1,"AD_884",9000
"Cairo","Fostat, Fustat","Egypt","30.06263","31.24967",1,"AD_884",150000
"Chengdu","","China","30.66667","104.06667",1,"AD_886",75000
"Angkor","","Cambodia","13.412417","103.86705",1,"AD_889",90000
"Samarra"," Samarra' ","Iraq","34.198333","43.874167",2,"AD_889",280000
"Seville","","Spain","37.388097","-5.982331",1,"AD_889",35000
"Alexandria","","Egypt","31.200092","29.918739",1,"AD_900",175000
"Angkor","","Cambodia","13.412417","103.86705",1,"AD_900",90000
"Baghdad","Bagdad","Iraq","33.34058","44.40088",1,"AD_900",900000
"Beijing","Peking","China","39.9075","116.39723",1,"AD_900",40000
"Bobastro","Malaga Province","Spain","36.716667","-4.416667",2,"AD_900",36000
"Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,"AD_900",100000
"Changzhou","Changchow, Jiangsu province","China","31.77358","119.95401",1,"AD_900",75000
"Chengdu","","China","30.66667","104.06667",1,"AD_900",75000
"Chinkiang","Zhenjiang","China","32.2","119.416667",2,"AD_900",25000
"Cordoba","Cordova, CÛrdoba","Spain","38.046133","-4.893564",2,"AD_900",20000
